ˇ ˇ
ㄅㄧㄝ 憋鱉虌癟鷩䨆鼈㿜𡘴㭭𥞲𧌽䘷𢠳𨂅䳤𧆊龞𡐞𩵛𣊶𥡁𤺓𢐳𩸁𤉤𪂟𪔀
ㄅㄧㄝˇ 癟蛂㿜
ㄅㄧㄝˊ 別蹩咇徶襒蟞彆蛂别吡䠥㧙𡷘㢼莂䇷𩠻㮰䭱𢛎𤷗𠍯𡙪𧧸𥢭𩓝𧝬𩦉𠔁𠛰𤫼𩠿𩡀𩡅𩡈𧭀𩡡
ㄅㄧㄝˋ 彆縪蹩䠥㢼䌘𣇢𥏟𢏨𡙼
ㄅㄧㄠ 標彪鑣鏢飆膘熛麃嘌杓滮瀌猋瘭穮颮驫摽儦臕颩髟謤墂贆蔈爂藨僄虨䁃颷飈飊飇䮶䮽飍脿㟽幖徱㠒𢶏磦䅺𦠎䔸𧇥𡣋䁭𣄠㶁𦔩𨭚𧥍𨯺𠔂𢒯𢿖𠿖𢅚𥲦𥋨𥌜𢅽𣠔𩪊𪄒𩴩𩽁𤆀𣏐𢒜𩖡𩖚𩖧𠎼𤌑𩗈𦼐𦔗𢖐𢸂𣄡𤂆𧈇𧷼𠑎𢖣𢹰𤼄𨮄𣠙𤒾𦣁𧄖𨯄𨰐
ㄅㄧㄠˇ 表婊錶裱俵褾檦諘㧼䞄㯹㟽㠒𢅚𢷋𧝪𧘰𧘦𧘝𧘡𪊘𧜫𪊬𧝼𧞧𧞱𧟈
ㄅㄧㄠˋ 鰾摽𧳀𢶏𢹰𩼾
ㄅㄧㄢ 邊編鞭蝙砭籩箯稨猵甂柉楄煸揙边牑獱鍽邉鯾鯿𥐗𨖾𠑟𪓏䟍𩼧𢻶𨆭𤄺𠓠𠓥𥑁𨓙𨓉𤾜𠐈𠥣𥲼𤁻𨘚𩋸𨘢𩌻𩺂𧾫𥸅𠥫𦍇
ㄅㄧㄢˇ 扁貶匾褊窆萹惼碥砭蝙揙稨鴘糄𥐗𦥘䡢𦽟㦚𢣑䁵藊𧸘𠓫𠩲𡲜𦟣𤀫𩩯𥣰𪖯𦥕𦥧𡬯𧴷𨖠𢤴𨐵𥌡𥤓
ㄅㄧㄢˋ 便變遍辨辯汴辮忭弁釆抃緶艑卞揙汳鴘閞犿㳎玣苄変䒪㣐徧㴜䛒辡辧𨚕𢬵昪㭓㺹㝸覍𦝤𨳲㲢䐔䪻㺕㵷𣝜㸤𠮓𦇥䉸𣈠𣸇𠃆𠷖𣪭𩰍𤀲𤻶𪉱𪓎𢺥𥍚𠂠𠀭𡊅𤝏𡭪𣅹𢍍𠊳𠭛𢍘𢍙𢒛𦰝𦯨𢒟𧦪𧦬𢒦𢒪𢒭𢻝𨖠𨧕𧩵𧪔𦄒𦄱𨐾𣀵𧭿𧮀
ㄅㄧㄣ 賓濱彬檳儐斌繽豳瀕邠璸蠙鑌豩汃椕霦驞份稟嬪殯鬢攽玢砏郴虨娦浜㟗梹滨㻞禀殡賔髩濵鬂穦䚔顮馪𠚼𣴩𧶎𧇥𡒨𡣕㡦𢣐䧬䨈𩯭𪇕𣢏𣰨𧷟𨐰𠚟𩰗𢒹𩴱𡧎𥦎𡺳𧵯𧇃𧶉𡪛𤍘𧇨𨞹𧈇𨽗𦆯𧲏𤄹𩆱𩦿𩰝𩴸
ㄅㄧㄣˇ 稟禀癛䐔𦼹
ㄅㄧㄣˋ 殯鬢儐擯臏髕鶣賓殡賔髩鬂𧶎𡒨𩯭𡦆𧸈𥦎𢷤𨲺
ㄅㄧㄥ 兵冰掤栟并屏檳仌氷幷屛梹幈𤝣𢲰𦴏䔊𥰅𩋒𠦛𣲝𠉔𠈯𠬿𠡿𢵁𡫅
ㄅㄧㄥˇ 餅丙稟柄秉炳昺邴怲鞞鉼蛃陃苪窉鈵屏庰迸芮抦昞㶮眪屛㨀幈棅逬禀餠餜䴵𥅙䋑𦱮𠛥𡯞𠱛𡇤𨓁𡹾𩊖𩶁𡚛𥝐𣏲𥿒𨗙𩌛
ㄅㄧㄥˋ 並病併并摒寎鵧偋柄幵庰窉㓈幷抦倂栤竝㨀棅逬鈵靐开𠊧傡䗒𩬝鮩𨆱𥒜𢉟𢔧𨋲𢆢𢊜𣰜𦡻𦿅𥖬𩹁𩮟𡘋𢆙𤵣𤖉
ㄅㄨ 逋晡餔峬鵏不鯆庯陠䊇𩶉𩹲𠬣𨓥𥪀𠀚𣇀𨕝𥂈𨿌𥡨𧗉𨗗𪁭𩺼
ㄅㄨˇ 補捕埔哺卜鳪獛訃轐䀯㙛䋠𤣰𢽊㨐䪁𩯏𣱶𥃨𡡐𨴪𩢕𤗵𩍩𩏵𠁢𠁡𢒏𨾇𩋼𩮽
ㄅㄨˊ 不醭
ㄅㄨˋ 不部布步怖佈簿埠鈽蔀篰捗咘阜哺捕抪陟餔歨歩㳍柨徏陠㻉荹䊇䝵餢𠜙廍悑𥑢䏽䑰𤸵郶䒀𦽮𩌏䴺𢇴㱛𨛒𧉩㾟𤚵𩣝𥳖𩷖𪖈𩏵𢁙𠙐𤵗䑧𦜟𥹴𩅇
ㄅㄨ˙ 不
ㄆ ㄆ
ㄆㄚ 趴葩啪蚆舥夿妑皅𩈆䯲𥐙𤽉𦐆𧣃𨋐𦺂
ㄆㄚˇ 𥩙
ㄆㄚˊ 爬扒琶耙杷跁筢欛潖𧣣𣚒𧑡𤧲𣠽
ㄆㄚˋ 怕帕帊袙汃袹帞絈𪗔𢥻𢗌𢘣
ㄆㄚ˙ 杷琶欛
ㄆㄛ 波潑坡陂鏺癹翍頗沷汖昁鉕㔇𣎵㧊𡶆𠷑𢯸𦳠𨸭𤽌𥄔𥬒𦫔𧙅𩑼𤀪𨅅𡶅𢫂𦐢𣸍𤼯㗶𨨻𩸿
ㄆㄛˇ 頗剖叵笸尀鉕駊𤱍箥𠰐𣲳𤝯𧿽𡽠𨆵𩢘
ㄆㄛˊ 婆鄱皤櫇番幡繁碆畨㜑䌓𥿋𢱨䋣嘙蔢㩯𩕏𧂉𡟖𤽻𦔑𡣩
ㄆㄛˋ 破迫魄珀泊朴粕醱岶烞蒪扑拍釙胉哱濼廹狛洦砶䄸䎅奤㴖湐䞟䪔䯙屰𢪊𢫦㛘𤖼䍨䣪䎊𢶉𦿍䗱𩋟䪙𤃸䨰𥐚𧴤𦥭𦥲𦑀𧻙𩊀𠾌𩔈𦒟𥵜𥗟𦍁𣬚𤽐𣶎𦐚𡲠𣶊𦐦𨠘𨠓𦥾𩒋𦑵𦦐𨂩𨡩𣞞𧀸𩏮
ㄆㄞ 拍啪𢫦
ㄆㄞˇ 俖排㧳
ㄆㄞˊ 排牌徘俳簰棑箄輫猅𣝁𤗋𦴝
ㄆㄞˋ 派湃鎃蒎䖰𠂢㭛𥿯㵺𤀥𠨹𣏟𧵠𦓸𥯟𦔠𣴪𥾭𥯠
ㄆㄟ 胚呸坏醅柸岯垺衃丕披坯怌㔻妚抷肧𡜊𦙂㾦䯱𩵣𤬭𥹂𤬃𩎜𧖯𨟷𨡋
ㄆㄟˇ 琣昢
ㄆㄟˊ 陪賠培裴邳碚毰陫荖坏斐焙蓓坯岯踣醅阫㟝䞜裵䞳𧴥䏽𩑢䣙䪹㯁䔒𨛬䲹𣬆𤗏𦸪𤖯𣬾𨛧𡌮𠃂𦜟𨻓𧳏𣯱䫊
